Month,Platform,Star_1,Star_2,Star_3,Star_4,Star_5,Total,Avg_Rating
2019-09_to_2023-12(baseline),Google,37,41,79,216,579,952,4.32
2019-09_to_2023-12(baseline),Tripadvisor,33,52,81,193,382,741,4.13
2024-01,Google,0,1,2,2,20,25,4.64
2024-01,Tripadvisor,0,1,1,0,3,5,4.0
2024-02,Google,0,0,0,3,12,15,4.8
2024-02,Tripadvisor,0,0,0,2,1,3,4.33
2024-03,Google,2,1,2,2,7,14,3.79
2024-03,Tripadvisor,0,1,0,1,2,4,4.0
2024-04,Google,0,0,3,3,6,12,4.25
2024-04,Tripadvisor,1,0,1,0,4,6,4.0
2024-05,Google,2,0,2,4,9,17,4.06
2024-05,Tripadvisor,0,0,0,1,3,4,4.75
2024-06,Google,1,0,2,4,7,14,4.14
2024-06,Tripadvisor,0,1,1,1,3,6,4.0
2024-07,Google,2,0,1,3,4,10,3.7
2024-07,Tripadvisor,0,1,3,1,3,8,3.75
2024-08,Google,1,1,3,2,6,13,3.85
2024-08,Tripadvisor,0,0,2,0,2,4,4.0
2024-09,Google,0,0,3,3,9,15,4.4
2024-09,Tripadvisor,0,0,0,0,3,3,5.0
2024-10,Google,0,2,0,3,8,13,4.31
2024-10,Tripadvisor,0,0,0,0,2,2,5.0
2024-11,Google,2,1,3,9,7,22,3.82
2024-11,Tripadvisor,0,1,0,1,0,2,3.0
2024-12,Google,2,2,5,3,10,22,3.77
2024-12,Tripadvisor,1,0,0,1,2,4,3.75
2025-01,Google,1,3,1,7,15,27,4.19
2025-01,Tripadvisor,0,0,1,1,3,5,4.4
2025-02,Google,4,3,3,8,11,29,3.66
2025-02,Tripadvisor,1,1,3,1,3,9,3.44
2025-03,Google,4,2,4,4,3,17,3.0
2025-03,Tripadvisor,2,1,0,0,1,4,2.25
2025-04,Google,5,3,2,2,18,30,3.83
2025-04,Tripadvisor,0,3,2,1,3,9,3.44
2025-05,Google,4,1,2,5,11,23,3.78
2025-05,Tripadvisor,1,1,1,1,1,5,3.0
2025-06,Google,3,0,1,3,6,13,3.69
2025-06,Tripadvisor,2,1,0,0,1,4,2.25
2025-07,Google,3,1,1,0,7,12,3.58
2025-07,Tripadvisor,0,0,0,1,0,1,4.0
2025-08,Google,3,4,9,13,36,65,4.15
2025-08,Tripadvisor,2,2,1,6,2,13,3.31
2025-09,Google,3,3,0,8,36,50,4.42
2025-09,Tripadvisor,0,0,1,3,5,9,4.44
2025-10,Google,1,1,1,4,39,46,4.72
2025-10,Tripadvisor,0,0,0,3,8,11,4.73
2025-11,Google,5,0,3,8,88,104,4.67
2025-11,Tripadvisor,0,0,0,0,10,10,5.0
2025-12,Google,3,0,0,8,64,75,4.73
2025-12,Tripadvisor,1,2,2,1,7,13,3.85
2026-01,Google,0,3,1,1,23,28,4.57
2026-01,Tripadvisor,0,0,1,1,8,10,4.7
2026-02,Google,0,3,0,3,25,31,4.61
2026-02,Tripadvisor,0,0,0,1,10,11,4.91
2026-03,Google,2,0,1,5,37,45,4.67
2026-03,Tripadvisor,2,0,0,2,10,14,4.29
2026-04,Google,0,0,1,5,51,57,4.88
2026-04,Tripadvisor,0,1,0,0,10,11,4.73
2026-05,Google,0,1,0,8,51,60,4.82
2026-05,Tripadvisor,0,0,0,1,11,12,4.92
2026-06,Google,1,0,2,3,35,41,4.73
2026-06,Tripadvisor,0,0,1,2,5,8,4.5
2026-07,Google,1,0,1,8,29,39,4.64
2026-07,Tripadvisor,0,0,0,1,7,8,4.88
2026-08,Google,2,2,0,7,32,43,4.51
2026-08,Tripadvisor,0,1,1,1,5,8,4.25
All Time,All Platforms,140,149,241,595,1821,2946,4.29
All Time,Google,94,79,138,367,1301,1979,4.37
All Time,Tripadvisor,46,70,103,228,520,967,4.14
